erd_id,resin_name,sculptor,scale
2,UVM Yesteryear,Sarah Rose,Traditional (1:9)
3,Royal Redeemer,Jennifer Reid,Traditional (1:9)
4,PF Hez Jazi,Gina Hall-Anderson,Traditional (1:9)
5,PF Meccaa,Gina Hall-Anderson,Traditional (1:9)
7,PF Tobiah,Gina Hall-Anderson,Classic (1:12)
8,PF Bach,Gina Hall-Anderson,Large Classic
9,PF Caberet,Gina Hall-Anderson,Stablemate (1:32)
10,PF Marijka,Gina Hall-Anderson,Large Classic
11,PF Liedjo,Gina Hall-Anderson,Classic (1:12)
12,PF Moo Calf,Gina Hall-Anderson,Unknown
13,PF El Ebano,Gina Hall-Anderson,Stablemate (1:32)
14,Renaissance,Thomas Bainbridge,Traditional (1:9)
15,Libertango,Thomas Bainbridge,Traditional (1:9)
16,Adiel's Casino Gold,Laura Behning,Small Classic
17,Cantering Arab (Behning),Laura Behning,Cantering
18,Blame it on Elaine,Laura Behning,Stablemate (1:32)
19,Frolic,Laura Behning,Stablemate (1:32)
20,Western type Morgan (Behning),Laura Behning,Stablemate (1:32)
22,Brookridge Brendan,Laura Behning,Stablemate (1:32)
23,Mira,Laura Behning,Classic (1:12)
24,Willy Remember Me,Laura Behning,Traditional (1:9)
25,Freedom (Behning),Laura Behning,Classic (1:12)
26,BR Heidi Angelfield,Laura Behning,Little
28,British Shetland Pony (Behning),Laura Behning,Unknown
29,Mindspring,Laura Behning,Traditional (1:9)
30,RHR Silverton Barron,Michelle Belisle (-Locke or -DeSpiegelaere),Traditional (1:9)
31,MN Braask,Michelle Belisle (-Locke or -DeSpiegelaere),Unknown
32,Cricket (Belisle-Locke),Michelle Belisle (-Locke or -DeSpiegelaere),Traditional (1:9)
33,Pierre,Michelle Belisle (-Locke or -DeSpiegelaere),Classic (1:12)
34,El Ultimo Tango,Michelle Belisle (-Locke or -DeSpiegelaere),Unknown
35,Mule (Belisle-Locke),Michelle Belisle (-Locke or -DeSpiegelaere),Stablemate (1:32)
36,MN Reah,Michelle Belisle (-Locke or -DeSpiegelaere),Stablemate (1:32)
37,Rolling Thunder,Michelle Belisle (-Locke or -DeSpiegelaere),Traditional (1:9)
38,Majoriffic,Michelle Belisle (-Locke or -DeSpiegelaere),Unknown
39,Aashiq,Edwin Bogucki,Traditional (1:9)
41,War Chant,Kathi Bogucki,Traditional (1:9)
42,Kalila,Edwin Bogucki,Traditional (1:9)
43,Johara,Edwin Bogucki,Traditional (1:9)
44,Chances Are,Edwin Bogucki,Traditional (1:9)
45,Trooper,Edwin Bogucki,Traditional (1:9)
46,Strawberry Jam,Kathi Bogucki,Traditional (1:9)
47,Rosebud,Kathi Bogucki,Stablemate (1:32)
48,Dreamcatcher,Edwin Bogucki,Traditional (1:9)
49,Tifla,Kathi Bogucki,Stablemate (1:32)
50,Dozen Roses,Kathi Bogucki,Traditional (1:9)
51,Fjord (Bouras),Elizabeth Bouras (Amarna),Traditional (1:9)
52,Amarna Arab (CM PAS),Elizabeth Bouras (Amarna),Traditional (1:9)
53,Fandango,Sarah Minkiewicz-Breunig,Unknown
54,Kottilian,Sarah Minkiewicz-Breunig,Unknown
55,Orinocco,Sarah Minkiewicz-Breunig,Traditional (1:9)
56,Saadiqah,Sarah Minkiewicz-Breunig,Traditional (1:9)
57,Raven,Randy Buckler,Traditional (1:9)
58,Great Balls of Fire,Darian Buckles,Traditional (1:9)
59,Labyrinth,Darian Buckles,Traditional (1:9)
60,Finale,Tracie Caller,Little
61,Virtual Reality,Tracie Caller,Traditional (1:9)
62,Vizcaya,Tracie Caller,Unknown
63,Quintessence (Caller),Tracie Caller,Classic (1:12)
64,Oasis (Caller),Tracie Caller,Stablemate (1:32)
65,Lipizzaner (Bainbridge),Thomas Bainbridge,Traditional (1:9)
66,Finesse,Tracie Caller,Traditional (1:9)
67,Calliope,Kitty Cantrell,Traditional (1:9)
68,Haggis (trad.),Kitty Cantrell,Unknown
69,Brandy (Cantrell foal),Kitty Cantrell,Traditional (1:9)
70,Shania,Kitty Cantrell,Traditional (1:9)
71,Dartanian,Kitty Cantrell,Unknown
72,Aramis,Kitty Cantrell,Unknown
73,Marksman,Deborah Chenoweth,Traditional (1:9)
74,Cavenaugh Jack,Deborah Chenoweth,Traditional (1:9)
75,Showtime,Deborah Chenoweth,Classic (1:12)
76,Ironclad,Jamie Coughlin,Traditional (1:9)
77,Powermatic,Jamie Coughlin,Traditional (1:9)
79,CZ Blizzard,Lori Daniels,Draft Scale
80,CZ Lil' Heathen,Lori Daniels,Traditional (1:9)
81,CZ Rough Justice,Lori Daniels,Traditional (1:9)
82,CZ Sweet Onion Rowena,Lori Daniels,Classic (1:12)
83,CZ Voodoo Etiquette,Lori Daniels,Traditional (1:9)
84,Euphoria (Davidson),Allie Davidson,Traditional (1:9)
85,Veillantif,Allie Davidson,Traditional (1:9)
86,Highland/Dales Pony (Deale),Dawn Deale,Large Classic
91,Vaquero,Pamela DeMuth,Traditional (1:9)
92,Buttercup,Pamela DeMuth,Traditional (1:9)
93,Dos Habaneros,Pamela DeMuth,Traditional (1:9)
94,Purmer,Pamela DeMuth,Traditional (1:9)
96,Bisley,Pamela DeMuth,Stablemate (1:32)
97,Mephisto,Sarah Rose,Traditional (1:9)
98,Libretto,Sarah Rose,Stablemate (1:32)
99,Oberon,Sarah Rose,Stablemate (1:32)
101,HA Hadrian,Sarah Rose,Stablemate (1:32)
102,Khemosabi (Rose),Sarah Rose,Traditional (1:9)
103,WRAC Raging Tuna,Darian Buckles,Unknown
104,Padron (trad. head-tucked),Vicki Keeling,Traditional (1:9)
105,Padron (trad. head-up),Vicki Keeling,Traditional (1:9)
106,Padron (cl. head-tucked),Vicki Keeling,Small Classic
107,Padron (cl. head-up),Vicki Keeling,Small Classic
109,Vermont Traditional Holiday,Jennifer Reid,Traditional (1:9)
110,Nahar (traditional),Sarah Rose,Traditional (1:9)
111,Elegance,Candace Liddy,Little
113,Arista,Tracie Caller,Traditional (1:9)
114,Ranger,Kitty Cantrell,Unknown
115,Terminator,Karren Cassavant,Traditional (1:9)
116,Farasha,Pamela DeMuth,Stablemate (1:32)
117,Mulahn,Brigitte Eberl,Traditional (1:9)
118,Pasquita,Brigitte Eberl,Traditional (1:9)
119,Shetan,Brigitte Eberl,Traditional (1:9)
120,Verocchio,Brigitte Eberl,Traditional (1:9)
121,Argente,Brigitte Eberl,Traditional (1:9)
122,Othello (Eberl),Brigitte Eberl,Unknown
123,Lancelot,Brigitte Eberl,Unknown
125,Cisco,Brigitte Eberl,Traditional (1:9)
126,Mittens,Ann Harris,Traditional (1:9)
127,Bubba,Ann Harris,Traditional (1:9)
128,Barry,Ann Harris,Traditional (1:9)
130,Candidus,Ann Harris,Traditional (1:9)
131,WBP Loco Motion,Chris Jolly,Unknown
132,WBP Ken-Worth,Chris Jolly,Little
133,WBP Agatha Rose,Chris Jolly,Little
134,Polaris,Debbi LerMond,Unknown
135,Echo Magnifficoo,Debbi LerMond,Unknown
136,American Beauty,Chris Nandell Flint,Traditional (1:9)
137,First Class,Chris Nandell Flint,Classic (1:12)
138,Power Steering,Carol Williams/Chris Nandell,Traditional (1:9)
139,Pregnant Pause,Chris Nandell Flint,Traditional (1:9)
140,Romantz,Chris Nandell Flint,Traditional (1:9)
141,Whiplash,Chris Nandell Flint,Traditional (1:9)
142,Willie Delight,Chris Nandell Flint,Traditional (1:9)
143,Acclaim to Fame,Chris Nandell Flint,Traditional (1:9)
144,Charlie's Angel,Chris Nandell Flint,Unknown
145,Euro,grace newhouse,Unknown
146,Scheherazade (Pope),Judy Renee Pope,Traditional (1:9)
147,Simone,Judy Renee Pope,Classic (1:12)
148,Hawkeye,Judy Renee Pope,Stablemate (1:32)
149,Timothy,Sommer Prosser,Traditional (1:9)
150,Extreme Justice,Sommer Prosser,Traditional (1:9)
151,Summer Solstice,Sommer Prosser,Traditional (1:9)
152,Daire,Sommer Prosser,Small Classic
155,Nevada,Sarah Rose,Stablemate (1:32)
156,Khan,Sarah Rose,Traditional (1:9)
157,Brioso,Sarah Rose,Traditional (1:9)
158,Deseoso,Sarah Rose,Traditional (1:9)
159,Oberon (hairy),Sarah Rose,Stablemate (1:32)
160,Ahab,Sarah Rose,Stablemate (1:32)
161,Poquito,Sarah Rose,Stablemate (1:32)
162,Arabian Park Horse (Williams),Carol Williams,Traditional (1:9)
164,Okie Rio,Carol Williams,Traditional (1:9)
165,Still Dreamin',Carol Williams,Traditional (1:9)
166,Okie Too,Carol Williams,Traditional (1:9)
167,Rio Rondo Quarter Horse 1,Carol Williams,Traditional (1:9)
168,Destacado,Linda York,Traditional (1:9)
169,Intrepido,Linda York,Classic (1:12)
170,No Rush,Linda York,Stablemate (1:32)
171,Smokin Joe,Linda York,Stablemate (1:32)
172,Souvenir,Linda York,Stablemate (1:32)
173,Too Cass,Linda York,Stablemate (1:32)
174,HA Brenin,Linda York,Traditional (1:9)
175,Shooter,Linda York,Stablemate (1:32)
176,Intaada,Linda York,Traditional (1:9)
177,Willa Rose,Linda York,Stablemate (1:32)
178,Pavo Real,Carlee Balling,Traditional (1:9)
179,Gesche,Carlee Balling,Traditional (1:9)
180,Balling Mini Arab,Carlee Balling,Unknown
181,Balling Mini QH,Carlee Balling,Unknown
182,Balling Mini Warmblood,Carlee Balling,Unknown
183,Balling Mini Morgan,Carlee Balling,Unknown
184,Balling Mini Saddlebred,Carlee Balling,Unknown
186,Roadie,Laura Behning,Stablemate (1:32)
187,PF Brezii,Gina Hall-Anderson,Traditional (1:9)
189,Nocturno,Kitty Cantrell,Traditional (1:9)
190,Romance,Kitty Cantrell,Traditional (1:9)
193,Oopsy Daisy,Kitty Cantrell,Traditional (1:9)
194,Nighthawk,Kitty Cantrell,Traditional (1:9)
197,Lilly,Kitty Cantrell,Traditional (1:9)
199,Romano Gucci,Jamie Coughlin,Unknown
200,Cujo,Lori Daniels,Stablemate (1:32)
201,Arizona,Pamela DeMuth,Traditional (1:9)
202,Azale,Pamela DeMuth,Traditional (1:9)
203,Melodia,Pamela DeMuth,Traditional (1:9)
204,Bowie,Pamela DeMuth,Traditional (1:9)
205,Fabian,Pamela DeMuth,Traditional (1:9)
206,Grace (DeMuth standing mare),Pamela DeMuth,Traditional (1:9)
207,Noelle,Pamela DeMuth,Traditional (1:9)
