mold_name,model_number,release_name,color_description,release_year_start,release_year_end
Andalusian,2024-2025,Grape Scented,,,
Andalusian,11041,Truffle,grey,2024,2025
Arabian,7862,Whisper,grey,2023,2024
Arabian,7866,Celeste,"purple w/ darker points, mane and tail, silver horn and hooves with glitter",2023,2024
Arabian,7880,Cinnamon,flaxen liver chestnut,2023,2024
Arabian,10021,Chili,"chestnut, stocking (right front)",2024,2025
Arabian,11042,Mara,"pink w/ darker points, mane and tail, gold horn and hooves with glitter",2024,2025
Black Beauty,89,Black Beauty,"black, star, black mane/tail four stockings",1979,1980
Black Beauty,89,Black Beauty,"black, right hind stocking",1981,
Black Beauty,89,Black Beauty,"black, right fore stocking",1982,1988
Black Beauty,722,Sir Wrangler,"bay semi-leopard, star and stripe, black points, hind stockings",1998,1999
Black Beauty,802,Fade to Gray,"slightly semi-gloss dark dapple grey, stripe, charcoal mane/tail",1989,1990
Black Beauty,833,Dream Weaver,"sorrel, flaxen mane/tail, blaze down muzzle and chin, off side stockings",1991,
Black Beauty,919,Donovan Running Appaloosa Stallion,"grey dun roan blanket, dappled or bald lower face, splashed on chestnut spots, black spots, near fore and hind stockings",1995,1997
Black Beauty,1139,AA Omner,"fleabitten grey, grey shaded muzzle, grey speckles",2001,2002
Black Beauty,1219,"Riata Ranch Trick Riding Set With trick riding tack set, doll, and American flag","chestnut pinto, bi-colored mane, light chestnut tail",2003,2004
Black Beauty,1226,The Midnight Ride of Paul Revere With English tack and Paul Revere doll,"shaded bay, black points, off fore sock, broken stripe",2005,
Black Beauty,1269,Flicka,"black, metallic undercoat, eye whites",2006,2007
Black Beauty,1360,Ben Cartwright's Buck,"shaded buckskin, black points, bi-colored eyes",2009,2011
Black Beauty,1360,Ben Cartwright's Buck,"glossy shaded buckskin, black points, bi-colored eyes",2010,
Black Beauty,301157,Lakota,"palomino, white mane/tail, four stockings",2017,
Black Beauty,410802,"Zorion & Orion, Magical Unicorn Set With Action Stock Horse Foal","iridescent white, pinkish shading",2002,
